0;1
0;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" i'm seeing a lot of people complaining about the fmu, afraid to go there and be one more""), 'frase_traduzida': TextBlob("" i'm seeing a lot of people complaining about the fmu, afraid to go there and be one more""), 'polaridade': -0.04999999999999999, 'subjetividade': 0.7}"
1;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""fmu charging 1,08500 reenrollment will take it in the ass kkkkkkkkkkk just laughing even""), 'frase_traduzida': TextBlob(""fmu charging 1,08500 reenrollment will take it in the ass kkkkkkkkkkk just laughing even""), 'polaridade': 0.0, 'subjetividade': 0.0}"
2;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""fmu disorganized bitch you're taking me out of serious shit college let me graduate in goddamn peace""), 'frase_traduzida': TextBlob(""fmu disorganized bitch you're taking me out of serious shit college let me graduate in goddamn peace""), 'polaridade': -0.26666666666666666, 'subjetividade': 0.7333333333333334}"
3;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""i think i'm going to be angry with the fmu this month, i'm feeling""), 'frase_traduzida': TextBlob(""i think i'm going to be angry with the fmu this month, i'm feeling""), 'polaridade': -0.5, 'subjetividade': 1.0}"
4;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""this site is buggy from the fmu, q krlh""), 'frase_traduzida': TextBlob(""this site is buggy from the fmu, q krlh""), 'polaridade': 0.0, 'subjetividade': 0.0}"
5;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" worst thing i did was download the app there that maya sent and using the college filterseriously, there are only beautiful women in the fmu i get sad""), 'frase_traduzida': TextBlob("" worst thing i did was download the app there that maya sent and using the college filterseriously, there are only beautiful women in the fmu i get sad""), 'polaridade': -0.1625, 'subjetividade': 1.0}"
6;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""two days, we are exactly 2 days away from returning to school, and the owner @fmuoficial, has not yet released the timetable fi ""), 'frase_traduzida': TextBlob(""two days, we are exactly 2 days away from returning to school, and the owner @fmuoficial, has not yet released the timetable fi ""), 'polaridade': 0.25, 'subjetividade': 0.25}"
7;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@casrainbowings try to take him to a university hospital, it's a lot cheaper, there's the fmu, they saved my dog's life there""), 'frase_traduzida': TextBlob(""@casrainbowings try to take him to a university hospital, it's a lot cheaper, there's the fmu, they saved my dog's life there""), 'polaridade': 0.0, 'subjetividade': 0.0}"
8;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""fmu you pay me for everything i hate you so much""), 'frase_traduzida': TextBlob(""fmu you pay me for everything i hate you so much""), 'polaridade': -0.30000000000000004, 'subjetividade': 0.55}"
9;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""oh my god why the fmu site has to be so rubbish""), 'frase_traduzida': TextBlob(""oh my god why the fmu site has to be so rubbish""), 'polaridade': 0.0, 'subjetividade': 0.0}"
10;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""i'm going to class with rosani again by god fmu kill me now""), 'frase_traduzida': TextBlob(""i'm going to class with rosani again by god fmu kill me now""), 'polaridade': 0.0, 'subjetividade': 0.0}"
11;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" i hate the fmu, damn she's not going back to facetoface classes""), 'frase_traduzida': TextBlob("" i hate the fmu, damn she's not going back to facetoface classes""), 'polaridade': -0.4, 'subjetividade': 0.45}"
12;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" when my classes come back i'll curse the fmu coordination so much""), 'frase_traduzida': TextBlob("" when my classes come back i'll curse the fmu coordination so much""), 'polaridade': 0.1, 'subjetividade': 0.1}"
13;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" for the love of god fmu and prouni do soon my enrollment i want to be university dnv""), 'frase_traduzida': TextBlob("" for the love of god fmu and prouni do soon my enrollment i want to be university dnv""), 'polaridade': 0.5, 'subjetividade': 0.6}"
14;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@taeminsour the fmu i know is good! but it's fucking msm they just want usp fgv puc and mackenzie""), 'frase_traduzida': TextBlob(""@taeminsour the fmu i know is good! but it's fucking msm they just want usp fgv puc and mackenzie""), 'polaridade': 0.1375, 'subjetividade': 0.7000000000000001}"
15;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@waaaaaaaane hey fiiah, i'll sing fmu right there for you""), 'frase_traduzida': TextBlob(""@waaaaaaaane hey fiiah, i'll sing fmu right there for you""), 'polaridade': 0.2857142857142857, 'subjetividade': 0.5357142857142857}"
16;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@f_does_ so friend, the fuck is that so i know i owe college you know, and fmu is an ass in relation to any thing… ""), 'frase_traduzida': TextBlob(""@f_does_ so friend, the fuck is that so i know i owe college you know, and fmu is an ass in relation to any thing… ""), 'polaridade': -0.4, 'subjetividade': 0.6}"
17;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""you who are out there looking for a university to carry out your undergraduate or postgraduate studies, don't go to fmu! @fmuofficial""), 'frase_traduzida': TextBlob(""you who are out there looking for a university to carry out your undergraduate or postgraduate studies, don't go to fmu! @fmuofficial""), 'polaridade': 0.0, 'subjetividade': 0.0}"
18;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@brunabaldoino the fmu still hasn't said na?""), 'frase_traduzida': TextBlob(""@brunabaldoino the fmu still hasn't said na?""), 'polaridade': 0.0, 'subjetividade': 0.0}"
19;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" every day i ask if any soul on this site is going to study at fmu da liberdade so that we can make friends""), 'frase_traduzida': TextBlob("" every day i ask if any soul on this site is going to study at fmu da liberdade so that we can make friends""), 'polaridade': 0.0, 'subjetividade': 0.0}"
20;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@calmagado @deth45648994 @danilogentili and i don't have to deal with any failure because i'm exactly where i wanted this one… ""), 'frase_traduzida': TextBlob(""@calmagado @deth45648994 @danilogentili and i don't have to deal with any failure because i'm exactly where i wanted this one… ""), 'polaridade': -0.033333333333333354, 'subjetividade': 0.275}"
21;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" apparently, no one who went to the fmu through the prouni received a concrete answer, i'm not alone""), 'frase_traduzida': TextBlob("" apparently, no one who went to the fmu through the prouni received a concrete answer, i'm not alone""), 'polaridade': 0.06250000000000001, 'subjetividade': 0.325}"
22;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""thanks for nothing fmu ""), 'frase_traduzida': TextBlob(""thanks for nothing fmu ""), 'polaridade': 0.2, 'subjetividade': 0.2}"
23;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""me at fmu 😜🤡 ""), 'frase_traduzida': TextBlob(""me at fmu 😜🤡 ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
24;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@beahelen_ oh, amg, it's going to work the fmu freaks us out every day, but they ship right away the student outbreak, it's kind of… ""), 'frase_traduzida': TextBlob(""@beahelen_ oh, amg, it's going to work the fmu freaks us out every day, but they ship right away the student outbreak, it's kind of… ""), 'polaridade': 0.44285714285714284, 'subjetividade': 0.7178571428571429}"
25;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""fmu, thanks for the daily hate""), 'frase_traduzida': TextBlob(""fmu, thanks for the daily hate""), 'polaridade': -0.20000000000000004, 'subjetividade': 0.3666666666666667}"
26;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" classes only return on tuesday, but the fmu owner makes me angry without breaks, since 20191!""), 'frase_traduzida': TextBlob("" classes only return on tuesday, but the fmu owner makes me angry without breaks, since 20191!""), 'polaridade': -0.3125, 'subjetividade': 1.0}"
27;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@maduardwa simmm, i registered at the beginning of the month at the unip with a discount because i didn't know if i would pass the prouni,as au… ""), 'frase_traduzida': TextBlob(""@maduardwa simmm, i registered at the beginning of the month at the unip with a discount because i didn't know if i would pass the prouni,as au… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
28;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""fmu confirms my documentation logooo, i just want to put “biomedicine 🧬” in my insta bio""), 'frase_traduzida': TextBlob(""fmu confirms my documentation logooo, i just want to put “biomedicine 🧬” in my insta bio""), 'polaridade': 0.0, 'subjetividade': 0.0}"
29;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" zé roberto already went to the fmu but i was embarrassed to ask to take a picture with him""), 'frase_traduzida': TextBlob("" zé roberto already went to the fmu but i was embarrassed to ask to take a picture with him""), 'polaridade': 0.0, 'subjetividade': 0.0}"
30;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@maduardwa @byz_nanda @ticiazzx ​​then we already heard about a person they sent a reply to 🤡 fmu why do you hate me????????""), 'frase_traduzida': TextBlob(""@maduardwa @byz_nanda @ticiazzx ​​then we already heard about a person they sent a reply to 🤡 fmu why do you hate me????????""), 'polaridade': -0.8, 'subjetividade': 0.9}"
31;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@maduardwa @byz_nanda @ticiazzx ​​nothing yet pessu??????? kkkkkkkkkk fmu you pay me""), 'frase_traduzida': TextBlob(""@maduardwa @byz_nanda @ticiazzx ​​nothing yet pessu??????? kkkkkkkkkk fmu you pay me""), 'polaridade': 0.0, 'subjetividade': 0.0}"
32;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""i went through the prouni and the fmu didn't send me the term for enrollment so far, i'm worried""), 'frase_traduzida': TextBlob(""i went through the prouni and the fmu didn't send me the term for enrollment so far, i'm worried""), 'polaridade': 0.1, 'subjetividade': 1.0}"
33;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""this blackboard that doesn't release mds right away
hello fmu! release the article soon pfvr""), 'frase_traduzida': TextBlob(""this blackboard that doesn't release mds right away
hello fmu! release the article soon pfvr""), 'polaridade': 0.3571428571428571, 'subjetividade': 0.5357142857142857}"
34;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" the fmu sends an email asking to activate access to the student portal, 5min later says that the site will be out… ""), 'frase_traduzida': TextBlob("" the fmu sends an email asking to activate access to the student portal, 5min later says that the site will be out… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
35;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@ahsbrasil we're arriving at fmu @rafatv26""), 'frase_traduzida': TextBlob(""@ahsbrasil we're arriving at fmu @rafatv26""), 'polaridade': 0.0, 'subjetividade': 0.0}"
36;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""congratulations to me, the new fmu student""), 'frase_traduzida': TextBlob(""congratulations to me, the new fmu student""), 'polaridade': 0.13636363636363635, 'subjetividade': 0.45454545454545453}"
37;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""this is the third email i send to fmu just today kk""), 'frase_traduzida': TextBlob(""this is the third email i send to fmu just today kk""), 'polaridade': 0.0, 'subjetividade': 0.0}"
38;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob("" damn, uninove's administration manages to be worse than fmu's… i didn't even know i could""), 'frase_traduzida': TextBlob("" damn, uninove's administration manages to be worse than fmu's… i didn't even know i could""), 'polaridade': -0.4, 'subjetividade': 0.6}"
39;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""@maduardwa yes, i'm thinking like that too just mega worried because next week there will be the 2nd call😕, but the… ""), 'frase_traduzida': TextBlob(""@maduardwa yes, i'm thinking like that too just mega worried because next week there will be the 2nd call😕, but the… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
40;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""all the cool people go p fmu of freedom q odiorrr""), 'frase_traduzida': TextBlob(""all the cool people go p fmu of freedom q odiorrr""), 'polaridade': 0.35, 'subjetividade': 0.65}"
41;"{'criterio_de_pesquisa': 'Bolsonaro', 'frase_original': TextBlob(""i'm all confused with this fmu student portal""), 'frase_traduzida': TextBlob(""i'm all confused with this fmu student portal""), 'polaridade': -0.4, 'subjetividade': 0.7}"
