;0;1
0;0;"{'frase_original': TextBlob(""5 podcast “as crianças importam” do jornal expresso, sobre o direito das crianças brincarem e que contou com a minh… ""), 'frase_traduzida': TextBlob(""5 podcast “Children Matter” from the Express Newspaper, about the right of children to play and which included my…""), 'polaridade': 0.2857142857142857, 'subjetividade': 0.5357142857142857}"
1;1;"{'frase_original': TextBlob(""fmu me estressando logo na ultima semana de férias""), 'frase_traduzida': TextBlob(""fmu stressing me out in the last week of vacation""), 'polaridade': 0.0, 'subjetividade': 0.06666666666666667}"
2;2;"{'frase_original': TextBlob(""cada mensagem que a fmu me envia eles aumentam a porcentagem da bolsa, vazou o desespero""), 'frase_traduzida': TextBlob(""every message the fmu sends me they increase the percentage of the grant, despair leaked""), 'polaridade': 0.0, 'subjetividade': 0.0}"
3;3;"{'frase_original': TextBlob(""eu não desejo nem ao meu pior inimigo que estude na fmu, de verdade""), 'frase_traduzida': TextBlob(""I don't even wish my worst enemy to study at the FMU, really""), 'polaridade': -0.4, 'subjetividade': 0.6}"
4;4;"{'frase_original': TextBlob(""@sualvescruz ahahahaahaha, 🖐🏿 aluno fmu, temos mais um aqui kkkkkk""), 'frase_traduzida': TextBlob(""@sualvescruz ahahahaahaha, 🖐🏿 fmu student, we have one more here kkkkkk""), 'polaridade': 0.5, 'subjetividade': 0.5}"
5;5;"{'frase_original': TextBlob(""@thaynaconte @byz_nanda @gjeneci vamos ser colegas de  salaaaaaaaaaaa (isso se a fdp da fmu der um sinal 😩""), 'frase_traduzida': TextBlob(""@thaynaconte @byz_nanda @gjeneci let's be roommates from salaaaaaaaaaaa (if the fmu fdp gives a signal 😩""), 'polaridade': 0.0, 'subjetividade': 0.0}"
6;6;"{'frase_original': TextBlob(""@byz_nanda os humilhados pela fmu, que alívio de ter vocês kkkkkkkkkkkkk se não o surto seria maior""), 'frase_traduzida': TextBlob(""@byz_nanda those humiliated by the fmu, what a relief to have you kkkkkkkkkkkkk otherwise the outbreak would be bigger""), 'polaridade': 0.0, 'subjetividade': 0.5}"
7;7;"{'frase_original': TextBlob(""me recuso a acreditar que as aulas da fmu já vão voltar terça""), 'frase_traduzida': TextBlob(""I refuse to believe that the FMU classes will be back on Tuesday""), 'polaridade': 0.0, 'subjetividade': 0.0}"
8;8;"{'frase_original': TextBlob(""esperando ansiosamente o email da fmu""), 'frase_traduzida': TextBlob(""anxiously waiting for the fmu email""), 'polaridade': -0.25, 'subjetividade': 1.0}"
9;9;"{'frase_original': TextBlob(""@byz_nanda fmu acha que a gnt é palhaço só pode""), 'frase_traduzida': TextBlob(""@byz_nanda fmu thinks gnt is a clown can only""), 'polaridade': 0.0, 'subjetividade': 1.0}"
10;10;"{'frase_original': TextBlob(""ódio ao atendimento da fmu""), 'frase_traduzida': TextBlob(""hate of FMU attendance""), 'polaridade': -0.8, 'subjetividade': 0.9}"
