;0;1
0;0;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""@beahelen_ ai, amg, vai dar certo a fmu nos faz surtar todos os dias, mas logo enviam o surto do aluno, é meio qu… ""), 'frase_traduzida': TextBlob(""@beahelen_ ai, amg, vai dar certo a fmu nos faz surtar todos os dias, mas logo enviam o surto do aluno, é meio qu… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
1;1;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""fmu, obrigado pelo ódio diário""), 'frase_traduzida': TextBlob(""fmu, obrigado pelo ódio diário""), 'polaridade': 0.0, 'subjetividade': 0.0}"
2;2;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""as aulas só voltam na terça, mas a dona fmu, me faz passar raiva sem pausas, desde 20191!""), 'frase_traduzida': TextBlob(""as aulas só voltam na terça, mas a dona fmu, me faz passar raiva sem pausas, desde 20191!""), 'polaridade': 0.0, 'subjetividade': 0.0}"
3;3;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""@maduardwa simmm,eu fiz matrícula no começo do mês na unip com desconto pq não sabia se iria passar no prouni,as au… ""), 'frase_traduzida': TextBlob(""@maduardwa simmm,eu fiz matrícula no começo do mês na unip com desconto pq não sabia se iria passar no prouni,as au… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
4;4;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""fmu confirma minha documentação logooo, eu só quero botar “biomedicina 🧬” na minha bio do insta""), 'frase_traduzida': TextBlob(""fmu confirma minha documentação logooo, eu só quero botar “biomedicina 🧬” na minha bio do insta""), 'polaridade': 0.0, 'subjetividade': 0.0}"
5;5;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""o zé roberto já foi na fmu mas fiquei com vergonha de pedir pra tirar foto c ele""), 'frase_traduzida': TextBlob(""o zé roberto já foi na fmu mas fiquei com vergonha de pedir pra tirar foto c ele""), 'polaridade': 0.0, 'subjetividade': 0.0}"
6;6;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""@maduardwa @byz_nanda @ticiazzx aí gente já fiquei sabendo de uma pessoa que eles enviaram resposta 🤡 fmu pq q cê me odeia????????""), 'frase_traduzida': TextBlob(""@maduardwa @byz_nanda @ticiazzx aí gente já fiquei sabendo de uma pessoa que eles enviaram resposta 🤡 fmu pq q cê me odeia????????""), 'polaridade': 0.0, 'subjetividade': 0.0}"
7;7;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""@maduardwa @byz_nanda @ticiazzx nada ainda pessu??????? kkkkkkkkkk fmu vc me paga""), 'frase_traduzida': TextBlob(""@maduardwa @byz_nanda @ticiazzx nada ainda pessu??????? kkkkkkkkkk fmu vc me paga""), 'polaridade': 0.0, 'subjetividade': 0.0}"
8;8;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""passei pelo prouni e a fmu não me mandou o termo para a matrícula até agora,tô preocupada""), 'frase_traduzida': TextBlob(""passei pelo prouni e a fmu não me mandou o termo para a matrícula até agora,tô preocupada""), 'polaridade': 0.0, 'subjetividade': 0.0}"
9;9;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""reclama da fmu quem não conhece a uninove""), 'frase_traduzida': TextBlob(""reclama da fmu quem não conhece a uninove""), 'polaridade': 0.0, 'subjetividade': 0.0}"
10;10;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""esse blackboard que não libera logo mds
alô, fmu! libera a matéria logo pfvr""), 'frase_traduzida': TextBlob(""esse blackboard que não libera logo mds
alô, fmu! libera a matéria logo pfvr""), 'polaridade': 0.0, 'subjetividade': 0.0}"
11;11;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""a fmu manda um email pedindo pra ativar o acesso ao portal do aluno, 5min mais tarde fala que o site vai ficar fora… ""), 'frase_traduzida': TextBlob(""a fmu manda um email pedindo pra ativar o acesso ao portal do aluno, 5min mais tarde fala que o site vai ficar fora… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
12;12;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""@ahsbrasil a gente chegando na fmu @rafatv26""), 'frase_traduzida': TextBlob(""@ahsbrasil a gente chegando na fmu @rafatv26""), 'polaridade': 0.0, 'subjetividade': 0.0}"
13;13;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""@poha_raf amg vc se livrou, ia ser igual a mim que queria a fmu até que falei com umas pessoas e todas falaram que… ""), 'frase_traduzida': TextBlob(""@poha_raf amg vc se livrou, ia ser igual a mim que queria a fmu até que falei com umas pessoas e todas falaram que… ""), 'polaridade': 0.0, 'subjetividade': 0.0}"
14;14;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""parabéns p mim, a nova estudante da fmu""), 'frase_traduzida': TextBlob(""parabéns p mim, a nova estudante da fmu""), 'polaridade': 0.0, 'subjetividade': 0.0}"
15;15;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""já é o terceiro email que eu mando pra fmu só hoje kk""), 'frase_traduzida': TextBlob(""já é o terceiro email que eu mando pra fmu só hoje kk""), 'polaridade': 0.0, 'subjetividade': 0.0}"
16;16;"{'criterio_de_pesquisa': 'fmu', 'frase_original': TextBlob(""caralho, administração da uninove consegue ser pior do que a da fmu… nem sabia que tinha como""), 'frase_traduzida': TextBlob(""caralho, administração da uninove consegue ser pior do que a da fmu… nem sabia que tinha como""), 'polaridade': 0.0, 'subjetividade': 0.0}"
